h3_index,cuisine_type,competitor_count,avg_rating,total_reviews,rent_index,void_score,latitude,longitude,dominant_zip
88441a89abfffff,Specialty Food,1,4.5,78,2657.161863799283,66.38,27.94889,-82.458994,33602
8826462501fffff,Sandwiches,1,3.5,52,2640.0,66.38,38.602259,-90.433503,63131
8826462505fffff,Lounges,1,3.0,48,2640.0,66.38,38.602376,-90.437789,63131
8826462529fffff,Cajun/Creole,1,3.0,47,2640.0,66.38,38.601534,-90.452007,63131
88264d01c7fffff,Grocery,1,4.5,171,2715.2444444444445,66.38,35.970954,-86.835905,37069
882aac9415fffff,American (New),1,2.5,91,2667.2738095238096,66.38,40.15051,-75.30585,19422
88441a8339fffff,Desserts,1,4.0,48,2639.39898989899,66.38,27.812618,-82.638258,33703
88441a8813fffff,Seafood,1,4.5,36,2632.0512820512818,66.38,27.913734,-82.526722,33629
88441a8833fffff,Donuts,1,4.0,37,2632.0512820512818,66.38,27.926007,-82.506205,33629
88441a89abfffff,French,1,3.5,74,2657.161863799283,66.38,27.948201,-82.459455,33602
88441a89adfffff,Live/Raw Food,1,4.5,75,2657.161863799283,66.38,27.943473,-82.447553,33602
882aac941dfffff,Food Delivery Services,1,3.5,88,2667.2738095238096,66.37,40.153507,-75.303271,19422
88441a8303fffff,Chinese,1,3.5,45,2639.39898989899,66.37,27.805999,-82.63524,33703
88441a833bfffff,Bars,1,4.0,45,2639.39898989899,66.37,27.823622,-82.638258,33703
88441a8833fffff,Fast Food,1,3.0,29,2632.0512820512818,66.37,27.924929,-82.506184,33629
88441a8833fffff,Vegan,1,4.5,30,2632.0512820512818,66.37,27.92308,-82.50636,33629
88441a89a1fffff,Latin American,1,4.5,67,2657.161863799283,66.37,27.948357,-82.454873,33602
882a13cf2dfffff,Local Flavor,1,4.0,109,2683.0666666666666,66.37,40.248444,-74.743537,08648
88441a8339fffff,Mediterranean,1,4.5,44,2639.39898989899,66.37,27.814232,-82.632599,33703
88441a8815fffff,Bars,1,4.0,33,2632.0512820512818,66.37,27.911346,-82.517756,33629
88441a8815fffff,Breakfast & Brunch,1,4.5,32,2632.0512820512818,66.37,27.911342,-82.517527,33629
88441a8837fffff,Chicken Wings,1,3.0,25,2632.0512820512818,66.37,27.919361,-82.494804,33629
88441a88e5fffff,Chicken Wings,1,3.0,30,2632.0512820512818,66.37,27.927386,-82.512608,33629
88441a88edfffff,Latin American,1,4.5,32,2632.0512820512818,66.37,27.927559,-82.513405,33629
8826462501fffff,Mediterranean,1,4.0,37,2640.0,66.36,38.60043,-90.429247,63131
8826462503fffff,Chinese,1,3.5,35,2640.0,66.36,38.599296,-90.42638,63131
882aac945dfffff,Cafes,1,3.5,77,2667.2738095238096,66.36,40.170711,-75.285853,19422
88441a8811fffff,Chicken Wings,1,2.5,20,2632.0512820512818,66.36,27.909047,-82.527015,33629
88441a8837fffff,Acai Bowls,1,4.5,18,2632.0512820512818,66.36,27.91955,-82.495081,33629
88441a883bfffff,American (New),1,4.5,23,2632.0512820512818,66.36,27.915265,-82.50633,33629
88441a883bfffff,Latin American,1,3.5,22,2632.0512820512818,66.36,27.915364,-82.506292,33629
88441a883bfffff,Southern,1,3.0,19,2632.0512820512818,66.36,27.913631,-82.505736,33629
88441a88e5fffff,Specialty Food,1,4.5,24,2632.0512820512818,66.36,27.930236,-82.510579,33629
88441a89abfffff,Caribbean,1,3.5,58,2657.161863799283,66.36,27.948836,-82.45916,33602
8826462505fffff,Salad,1,3.5,34,2640.0,66.36,38.602781,-90.437743,63131
8826462525fffff,Italian,1,3.5,37,2640.0,66.36,38.601748,-90.466769,63131
8826462529fffff,Comfort Food,1,4.5,33,2640.0,66.36,38.600831,-90.448028,63131
